|6.6.6
in17a_1.tab                                                                                         
           2
T(K)    
   673.000800000000     
   8.08079191920000     
         100
P(bar)  
   30000.0500000000     
   505.049494950000     
         100
           5
rho,kg/m3      vp,km/s        vs,km/s        C1M(HP)        M(HP),vo%     
  3421.050       7.914250       4.403524      0.7686329       6.590138    
  3420.268       7.914223       4.402347      0.7612648       6.588713    
  3419.483       7.910961       4.399955      0.7612648       6.589914    
  3418.614       7.910048       4.398430      0.7471204       6.587881    
  3417.823       7.906783       4.396041      0.7471204       6.589075    
  3416.980       7.906197       4.394640      0.7352093       6.587443    
  3416.160       7.905576       4.393265      0.7256704       6.586251    
  3415.361       7.902310       4.390885      0.7256704       6.587431    
  3414.470       7.901371       4.389338      0.7128760       6.585649    
  3413.666       7.898102       4.386962      0.7128760       6.586822    
  3412.756       7.897211       4.385389      0.7009648       6.585341    
  3411.946       7.893939       4.383016      0.7009648       6.586508    
  3411.038       7.892983       4.381485      0.6897982       6.585132    
  3410.085       7.891743       4.379782      0.6786315       6.583780    
  3409.268       7.888469       4.377416      0.6786315       6.584933    
  3408.281       7.886681       4.375506      0.6659759       6.583618    
  3407.460       7.883402       4.373143      0.6659759       6.584766    
  3406.393       7.881132       4.370915      0.6533204       6.583345    
  3405.349       7.879111       4.368769      0.6406648       6.581886    
  3405.282       7.881207       4.369491      0.4806093       6.583828    
  3412.638       7.921603       4.395771      0.6472824       6.600649    
  3413.804       7.924307       4.398777      0.6451315       6.603754    
  3419.365       7.941021       4.413589      0.6391760       6.615711    
  3426.311       7.962094       4.432044      0.6332204       6.628061    
  3425.490       7.958762       4.429725      0.6332204       6.629148    
  3434.533       7.986537       4.453679      0.6280093       6.639366    
  3439.625       8.001738       4.467144      0.6339648       6.642884    
  3445.984       8.020949       4.483888       0.000000       6.644293    
  3454.716       8.040702       4.502350      0.4915148       6.077926    
  3464.587       8.056712       4.518832      0.4858118       4.907840    
  3472.989       8.068555       4.532439      0.4778543       3.868619    
  3482.906       8.084299       4.548877      0.4712730       2.709465    
  3492.345       8.098318       4.564170      0.4634467       1.583293    
  3495.420       8.096241       4.565450      0.4588166      0.8224600    
  3493.867       8.082884       4.556492      0.4579359      0.3359971    
  3492.525       8.072032       4.549291                NaN            NaN
  3491.799       8.066966       4.546302                NaN            NaN
  3491.235       8.062255       4.543580                NaN            NaN
  3490.581       8.057380       4.540739                NaN            NaN
  3489.752       8.052159       4.537644                NaN            NaN
  3489.222       8.047566       4.535018                NaN            NaN
  3488.860       8.043277       4.532671                NaN            NaN
  3488.564       8.039116       4.530444                NaN            NaN
  3488.464       8.035275       4.528482                NaN            NaN
  3488.471       8.031634       4.526713                NaN            NaN
  3488.649       8.028299       4.525240                NaN            NaN
  3489.309       8.025925       4.524561                NaN            NaN
  3489.643       8.022868       4.523367                NaN            NaN
  3491.912       8.023634       4.525351                NaN            NaN
  3492.255       8.020872       4.524339                NaN            NaN
  3494.094       8.020804       4.525720                NaN            NaN
  3496.667       8.022334       4.528405                NaN            NaN
  3499.640       8.024792       4.531867                NaN            NaN
  3503.991       8.030110       4.537804                NaN            NaN
  3508.770       8.036309       4.544602                NaN            NaN
  3511.402       8.038848       4.548056                NaN            NaN
  3514.432       8.041132       4.551907                NaN            NaN
  3512.884       8.034687       4.548015                NaN            NaN
  3511.416       8.028621       4.544341                NaN            NaN
  3509.827       8.021988       4.540353                NaN            NaN
  3508.362       8.015954       4.536700                NaN            NaN
  3506.876       8.009811       4.532994                NaN            NaN
  3505.377       8.003607       4.529260                NaN            NaN
  3503.872       7.997431       4.525517                NaN            NaN
  3502.359       7.991231       4.521756                NaN            NaN
  3500.823       7.984944       4.517937                NaN            NaN
  3499.410       7.979129       4.514436                NaN            NaN
  3497.927       7.973055       4.510766                NaN            NaN
  3481.038       7.891883       4.492281                NaN            NaN
  3479.585       7.885449       4.488992                NaN            NaN
  3478.051       7.878706       4.485524                NaN            NaN
